pickup_name,pickup_city,pickup_state,pickup_zip,dest_name,dest_city,dest_state,dest_zip,miles,price_usd,vehicle_class,dispatch_id,status,dispatch_date,cod,vehicle_count,vehicle
,Wilmer,TX,75172,,La Porte,TX,77571,249,270,standard,609VOLV61,Delivered,06/09/2026,0,1,2017 Volvo V60
,Elgin,IL,60120,,Irvington,NJ,07111,821,515,standard,609BMWX11,Delivered,06/09/2026,0,1,2017 BMW X1 Sports Activity Vehicle
,Elgin,IL,60120,,Irvington,NJ,07111,821,505,standard,609VOLXC3,Delivered,06/09/2026,0,1,2018 Volvo XC60
,Fort Wayne,IN,46806,,Newark,NJ,07105,639,550,standard,608DODCH1,Delivered,06/09/2026,0,1,2016 Dodge Charger
,South Bend,IN,46619,,Irvington,NJ,07111,700,550,standard,609VOLXC2,Delivered,06/09/2026,0,1,2020 Volvo XC60
,Phoenix,AZ,85043,,Gardena,CA,90248,371,325,standard,609KIACA1,Delivered,06/09/2026,0,1,2025 Kia Carnival MPV
,Bordentown,NJ,08505,,Irvington,NJ,07111,57,125,standard,609JEEGR1,Delivered,06/09/2026,0,1,2018 Jeep Grand Cherokee
,San Martin,CA,95046,,Gardena,CA,90248,326,325,standard,609VOLS61,Dispatched,06/09/2026,0,1,2018 Volvo S60
,Martinez,CA,94553,,Gardena,CA,90248,390,350,standard,609VOLXC1,Delivered,06/09/2026,0,1,2019 Volvo XC90
,Lake City,GA,30260,,Rincon,GA,31326,228,235,standard,605BMWX31,Delivered,06/09/2026,0,1,2019 BMW X3 Sports Activity Vehicle
,Yorkville,NY,13495,,Ayer,MA,01432,256,340,standard,BRA-0608,Dispatched,06/09/2026,1,1,2017 MAZDA MAZDA3
,Acworth,GA,30101,,Rincon,GA,31326,279,275,standard,608AUDA61,Delivered,06/08/2026,0,1,2017 Audi A6
,Dale,TX,78616,,La Porte,TX,77571,180,270,standard,608DODDU2,Delivered,06/08/2026,0,1,2021 Dodge Durango
,Detroit,MI,48234,,Irvington,NJ,07111,613,500,standard,608VOLV61,Dispatched,06/08/2026,0,1,2016 Volvo V60
,Lexington,SC,29073,,Rincon,GA,31326,121,185,standard,608DODCH2,Delivered,06/08/2026,0,1,2020 Dodge Charger
,Grenada,MS,38901,,Rincon,GA,31326,605,425,standard,608DODDU1,Delivered,06/08/2026,0,1,2019 Dodge Durango
,New Britain,CT,06051,,Irvington,NJ,07111,132,215,standard,608VOLXC3,Dispatched,06/08/2026,0,1,2024 Volvo XC60
,North Billerica,MA,01862,,Irvington,NJ,07111,240,305,standard,608CHRPA1,Delivered,06/08/2026,0,1,2017 Chrysler Pacifica
,Chicago Heights,IL,60411,,Irvington,NJ,07111,770,530,standard,605VOLXC1,Delivered,06/08/2026,0,1,2022 Volvo XC90
,Gardena,CA,90248,,La Porte,TX,77571,1577,1100,standard,514BMW44,Delivered,06/08/2026,0,1,2019 BMW 4 Series Coupe
,Portland,OR,97217,,Gardena,CA,90248,983,555,standard,608KIAST1,Delivered,06/08/2026,0,1,2018 Kia Stinger
,Lexington,SC,29073,,Rincon,GA,31326,121,220,standard,605JEEGL1,Delivered,06/08/2026,0,1,2023 Jeep Gladiator
,Medford,NY,11763,,Irvington,NJ,07111,80,200,standard,605CHECO1,Delivered,06/05/2026,0,1,2023 Chevrolet Corvette
,North Billerica,MA,01862,,Irvington,NJ,07111,240,300,standard,605MERC31,Dispatched,06/05/2026,0,1,2015 Mercedes-Benz C-Class Sedan
,Bridgeport,PA,19405,,Irvington,NJ,07111,94,180,standard,605BMW441,Dispatched,06/05/2026,0,1,2017 BMW 4 Series Gran Coupe
,Fairburn,GA,30213,,Rincon,GA,31326,251,250,standard,605BMW331,Delivered,06/05/2026,0,1,2019 BMW 3 Series Sedan
,Pembroke Pines,FL,33332,,Rincon,GA,31326,487,340,standard,605ALFGI1,Delivered,06/05/2026,0,1,2023 Alfa Romeo Giulia
,College Park,GA,30349,,Rincon,GA,31326,241,255,standard,604JEEGR1,Delivered,06/04/2026,0,1,2018 Jeep Grand Cherokee
,Loganville,GA,30052,,Rincon,GA,31326,218,250,standard,604VOLXC1,Delivered,06/04/2026,0,1,2018 Volvo XC90
,Matteson,IL,60443,,Irvington,NJ,07111,778,525,standard,604ALFST1,Delivered,06/04/2026,0,1,2022 Alfa Romeo Stelvio
,Austell,GA,30168,,Rincon,GA,31326,253,275,standard,603MERGL1,Delivered,06/03/2026,0,1,2025 Mercedes-Benz GLE SUV
,Elgin,IL,60120,,Irvington,NJ,07111,821,510,standard,603AUDA81,Dispatched,06/03/2026,0,1,2015 Audi A8 L
,Seaford,DE,19973,,Irvington,NJ,07111,201,245,standard,603HONAC1,Delivered,06/03/2026,0,1,2024 Honda Accord Hybrid
,Glassboro,NJ,08028,,Irvington,NJ,07111,97,170,standard,603JEEGR1,Delivered,06/03/2026,0,1,2017 Jeep Grand Cherokee
,Fremont,CA,94538,,Gardena,CA,90248,366,365,standard,603MERAM1,Delivered,06/03/2026,0,1,2020 Mercedes-Benz Mercedes-AMG
,Vallejo,CA,94590,,Compton,CA,90221,399,300,standard,603MERGL2,Delivered,06/03/2026,0,1,2021 Mercedes-Benz GLA
,Randolph,MN,55065,,Irvington,NJ,07111,1184,550,standard,603JEEGR2,Delivered,06/03/2026,0,1,2015 Jeep Grand Cherokee
,Conshohocken,PA,19428,,Irvington,NJ,07111,90,200,standard,603DODDU2,Delivered,06/03/2026,0,1,2021 Dodge Durango
,Haslet,TX,76052,,La Porte,TX,77571,302,230,standard,603BMWZ41,Delivered,06/03/2026,0,1,2019 BMW Z4 Roadster
,Pennsburg,PA,18073,,Irvington,NJ,07111,87,200,standard,603DODDU1,Delivered,06/03/2026,0,1,2026 Dodge Durango
,Hattiesburg,MS,39402,,Rincon,GA,31326,581,475,standard,518BMWX31,Delivered,06/02/2026,0,1,2019 BMW X3 Sports Activity Vehicle
,Lebanon,TN,37090,,Rincon,GA,31326,486,350,standard,602BMWX31,Delivered,06/02/2026,0,1,2018 BMW X3 Sports Activity Vehicle
,Louisville,KY,40272,,Rincon,GA,31326,658,450,standard,602VOLXC1,Delivered,06/02/2026,0,1,2024 Volvo XC60
,Scranton,PA,18509,,Ayer,MA,01432,284,350,standard,BRX601MAZ,Delivered,06/01/2026,1,1,2015 MAZDA MAZDA3
,Winder,GA,30680,,Rincon,GA,31326,212,250,standard,529HYUSA1,Delivered,06/01/2026,0,1,2026 Hyundai Santa Fe Hybrid
,Winder,GA,30680,,Rincon,GA,31326,212,300,standard,526TOYSI1,Delivered,06/01/2026,0,1,2024 Toyota Sienna
,Fredericksburg,VA,22408,,Irvington,NJ,07111,280,260,standard,601DODCH1,Delivered,06/01/2026,0,1,2015 Dodge Challenger
,Savannah,GA,31405,,Rincon,GA,31326,23,100,standard,601DODCH2,Delivered,06/01/2026,0,1,2023 Dodge Challenger
,Waldorf,MD,20602,,Irvington,NJ,07111,236,250,standard,601MASQU1,Delivered,06/01/2026,0,1,2010 Maserati Quattroporte
,Sandston,VA,23150,,Irvington,NJ,07111,336,355,standard,601DODDU1,Delivered,06/01/2026,0,1,2015 Dodge Durango
,Byram,MS,39272,,Rincon,GA,31326,631,400,standard,601JEEGR1,Delivered,06/01/2026,0,1,2022 Jeep Grand Cherokee L
,Ocala,FL,34482,,Rincon,GA,31326,245,230,standard,601MERC41,Delivered,06/01/2026,0,1,2017 Mercedes-Benz Mercedes-AMG
,Houston,TX,77038,,La Porte,TX,77571,37,110,standard,601ALFGI1,Delivered,06/01/2026,0,1,2017 Alfa Romeo Giulia
,Caseyville,IL,62232,,Rincon,GA,31326,787,530,standard,601AUDA71,Delivered,06/01/2026,0,1,2012 Audi A7
,Jacksonville,FL,32219,,Rincon,GA,31326,151,200,standard,513HYUTU1,Delivered,05/29/2026,0,1,2016 Hyundai Tucson
,Brandywine,MD,20613,,Newark,NJ,07105,233,260,standard,529JAGXF1,Dispatched,05/29/2026,0,1,2017 Jaguar XF
,Brandywine,MD,20613,,Irvington,NJ,07111,232,270,standard,529TOYRA1,Dispatched,05/29/2026,0,1,2023 Toyota RAV4 Hybrid
,Brighton,CO,80603,,La Porte,TX,77571,1042,610,standard,529JEEGR1,Delivered,05/29/2026,0,1,2021 Jeep Grand Cherokee L
,Chicago Heights,IL,60411,,Irvington,NJ,07111,770,575,standard,529DODDU1,Delivered,05/29/2026,0,1,2018 Dodge Durango
,San Antonio,TX,78224,,La Porte,TX,77571,228,225,standard,529MERCL1,Delivered,05/29/2026,0,1,2015 Mercedes-Benz CLA
,Wilmington,CA,90744,,Gardena,CA,90248,8,100,standard,529BMW331,Delivered,05/29/2026,0,1,2017 BMW 3 Series Sedan
,College Park,GA,30349,,Rincon,GA,31326,241,250,standard,528JEEGR1,Delivered,05/28/2026,0,1,2020 Jeep Grand Cherokee
,West Chester,OH,45069,,Irvington,NJ,07111,611,575,standard,521DODDU2,Delivered,05/28/2026,0,1,2014 Dodge Durango
,Albuquerque,NM,87105,,Gardena,CA,90248,820,550,standard,528VOLV91,Delivered,05/28/2026,0,1,2019 Volvo V90 Cross Country
,Sussex,WI,53089,,Irvington,NJ,07111,900,555,standard,528JEEGR2,Delivered,05/28/2026,0,1,2020 Jeep Grand Cherokee
,Buffalo,NY,14207,,Irvington,NJ,07111,392,400,standard,528MERAM1,Delivered,05/28/2026,0,1,2020 Mercedes-Benz Mercedes-AMG
,Dale,TX,78616,,La Porte,TX,77571,180,220,motorcycle,528HARRH1,Delivered,05/28/2026,0,1,2022 HARLEY-DAVIDSON NIGHTSTER
,Phoenix,AZ,85085,,Gardena,CA,90248,397,300,standard,528JEEWR1,Delivered,05/28/2026,0,1,2024 Jeep Wrangler
,Medford,NY,11763,,Irvington,NJ,07111,80,200,standard,528MERGL1,Delivered,05/28/2026,0,1,2022 Mercedes-Benz GLC SUV
,Uxbridge,MA,01569,,Irvington,NJ,07111,212,310,standard,527ALFST1,Delivered,05/27/2026,0,1,2018 Alfa Romeo Stelvio
,Dyer,IN,46311,,Irvington,NJ,07111,767,600,standard,522DODDU1,Dispatched,05/27/2026,0,1,2020 Dodge Durango
,Pembroke Pines,FL,33332,,Rincon,GA,31326,487,350,standard,526ALFGI1,Delivered,05/27/2026,0,1,2022 Alfa Romeo Giulia
,Oklahoma City,OK,73129,,La Porte,TX,77571,464,375,standard,527BMWX11,Delivered,05/27/2026,0,1,2024 BMW X1 Sports Activity Vehicle
,Randolph,MN,55065,,Newark,NJ,07105,1185,600,standard,527DODCH1,Delivered,05/27/2026,0,1,2017 Dodge Challenger
,San Diego,CA,92154,,Gardena,CA,90248,137,210,standard,527NIS371,Dispatched,05/27/2026,0,1,2019 Nissan 370Z Coupe
,Chambersburg,PA,17202,,Irvington,NJ,07111,210,280,standard,526BMW331,Delivered,05/27/2026,0,1,2017 BMW 3 Series Sedan
,Vermilion,OH,44089,,Irvington,NJ,07111,481,425,standard,527FORED1,Delivered,05/27/2026,0,1,2022 Ford Edge
,Brighton,CO,80603,,La Porte,TX,77571,1042,500,standard,527VOLXC1,Delivered,05/27/2026,0,1,2020 Volvo XC90
,Fontana,CA,92335,,Gardena,CA,90248,59,160,standard,527CHECA1,Delivered,05/27/2026,0,1,2016 Chevrolet Camaro
,Medford,NY,11763,,Irvington,NJ,07111,80,215,standard,527BMWX31,Delivered,05/27/2026,0,1,2024 BMW X3
,Angola,NY,14006,,Newark,NJ,07105,380,350,standard,527VOLS61,Delivered,05/27/2026,0,1,2019 Volvo S60
,San Martin,CA,95046,,Gardena,CA,90248,326,350,standard,527MERGL1,Delivered,05/27/2026,0,1,2022 Mercedes-Benz GLA
,Bay Point,CA,94565,,Gardena,CA,90248,374,325,standard,526BMW431,Delivered,05/27/2026,0,1,2020 BMW 4 Series Coupe
,Mercedes,TX,78570,,La Porte,TX,77571,361,280,standard,521CHRTO1,Delivered,05/26/2026,0,1,2015 Chrysler Town & Country
,Amarillo,TX,79118,,La Porte,TX,77571,613,500,standard,520TOY4R1,Dispatched,05/26/2026,0,1,2019 Toyota 4Runner
,Taylor,TX,76574,,La Porte,TX,77571,175,225,standard,526BMW541,Delivered,05/26/2026,0,1,2018 BMW 5 Series Sedan
